model,position,true_class,pred_class,correct,trust_score,max_softmax,mc_dropout,calib_health
rf_5class_cw,0,0,0,1,1426.4790956240463,0.9999958872795104,,red
rf_5class_cw,1,4,0,0,0.9996701493214889,0.9996930360794068,,red
rf_5class_cw,2,3,0,0,19.57039394495377,0.9999958872795104,,red
rf_5class_cw,3,3,0,0,2.314466515716473,0.9999958872795104,,red
rf_5class_cw,4,0,0,1,23583.769638377853,0.9999958872795104,,red
rf_5class_cw,5,2,0,0,0.6028012315118182,0.5624969601631165,,red
rf_5class_cw,6,4,0,0,4.711534731770332,0.9995613098144532,,red
rf_5class_cw,7,3,0,0,0.46451797438591785,0.9999927878379822,,red
rf_5class_cw,8,1,1,1,2.014088534083949,0.9795879125595092,,green
rf_5class_cw,9,0,0,1,8.937484916081619,0.9999958872795104,,red
rf_5class_cw,10,2,2,1,85.5104188187224,0.9999958872795104,,red
rf_5class_cw,11,2,2,1,2.790651598510382,0.9999958872795104,,red
rf_5class_cw,12,0,0,1,66.17880874068598,0.9999958872795104,,red
rf_5class_cw,13,1,0,0,1.755152256980912,0.9792177081108092,,red
rf_5class_cw,14,3,0,0,2.345951702253948,0.9999958872795104,,red
rf_5class_cw,15,0,2,0,4.504228853081429,0.9999958872795104,,red
rf_5class_cw,16,0,0,1,24.099142805325386,0.9999958872795104,,red
rf_5class_cw,17,3,0,0,2.6311099775875664,0.9999958872795104,,red
rf_5class_cw,18,0,0,1,15621.685808759898,0.9999958872795104,,red
rf_5class_cw,19,0,0,1,61.18910487614893,0.9999958872795104,,red
rf_5class_cw,20,0,0,1,6.136705625717214,0.9999958872795104,,red
rf_5class_cw,21,3,0,0,4.300641128180492,0.9999790787696838,,red
rf_5class_cw,22,0,0,1,10.414757643757524,0.9999958872795104,,red
rf_5class_cw,23,1,1,1,1.9215990167460877,0.769225537776947,,green
rf_5class_cw,24,0,0,1,1.0105332363721378,0.9119937419891356,,red
rf_5class_cw,25,2,2,1,15.099437037454896,0.9999958872795104,,red
rf_5class_cw,26,0,0,1,0.5665761410324758,0.9790882468223572,,red
rf_5class_cw,27,4,4,1,2.0048390482156977,0.6744303703308105,,red
